Location: Beaver, Pennsylvania, Label: 2.8728649616241455
Location: Limestone, Alabama, Label: 2.865379571914673
Location: Dyer, Tennessee, Label: 2.859468460083008
Location: Lee, Arkansas, Label: 2.779132843017578
Location: Red River, Texas, Label: 2.7685632705688477
Location: King, Texas, Label: 2.6780765056610107
Location: Lawrence, Arkansas, Label: 2.636512041091919
Location: Bradley, Tennessee, Label: 2.5500152111053467
Location: Nicholas, Kentucky, Label: 2.547806978225708
Location: Foard, Texas, Label: 2.4974608421325684
Location: Sevier, Arkansas, Label: 2.481098175048828
Location: Pulaski, Arkansas, Label: 2.4397857189178467
Location: Palo Pinto, Texas, Label: 2.433664321899414
Location: Lauderdale, Tennessee, Label: 2.4021284580230713
Location: Cleveland, Arkansas, Label: 2.3830394744873047
Location: Lewis, Kentucky, Label: 2.344058036804199
Location: Weakley, Tennessee, Label: 2.2708311080932617
Location: Lee, Kentucky, Label: 2.2603824138641357
Location: Putnam, Tennessee, Label: 2.191124439239502
Location: Fentress, Tennessee, Label: 2.1896960735321045
Location: Cumberland, Tennessee, Label: 2.168931007385254
Location: Lincoln, West Virginia, Label: 2.156609296798706
Location: Overton, Tennessee, Label: 2.1394593715667725
Location: Carter, Tennessee, Label: 2.1009681224823
Location: Rhea, Tennessee, Label: 2.0550920963287354
Location: Sevier, Tennessee, Label: 2.037224769592285
Location: Wise, Virginia, Label: 2.027360677719116
Location: Harrison, Kentucky, Label: 2.0121545791625977
Location: Clay, West Virginia, Label: 1.9974608421325684
Location: Fleming, Kentucky, Label: 1.9819499254226685
Location: Runnels, Texas, Label: 1.9599127769470215
Location: Monroe, Kentucky, Label: 1.916512370109558
Location: Haskell, Oklahoma, Label: 1.9048410654067993
Location: Robertson, Kentucky, Label: 1.83223295211792
Location: Choctaw, Oklahoma, Label: 1.8184822797775269
Location: Love, Oklahoma, Label: 1.7783358097076416
Location: Craighead, Arkansas, Label: 1.7753379344940186
Location: Webster, West Virginia, Label: 1.7594283819198608
Location: Coke, Texas, Label: 1.7325519323349
Location: Cottle, Texas, Label: 1.7277196645736694
Location: Bell, Kentucky, Label: 1.667616605758667
Location: Fayette, West Virginia, Label: 1.5004595518112183
Location: Carter, Oklahoma, Label: 1.4848679304122925
Location: Lonoke, Arkansas, Label: 1.4772220849990845
Location: Knox, Kentucky, Label: 1.4605506658554077
Location: Bryan, Oklahoma, Label: 1.4417144060134888
Location: Sterling, Texas, Label: 1.4161567687988281
